Ref,Part Number,Manufacturer,Description,Quantity
U1,NRF52840-DT-R,Nordic Semiconductor,nRF52840 SoC UWB/BLE Module,1
U2,AT25SF128A-SSHN-B,Adesto Technologies,128Mbit Serial Flash Memory,1
U3,MCP1700T-3302E/TT,Microchip Technology,3.3V LDO Voltage Regulator,1
U4,TCXO-32.768KHZ-ECS-2050,ECS Inc,32.768kHz TCXO Crystal Oscillator,1
U5,LIS2DH12TR,STMicroelectronics,3-axis Accelerometer,1
U6,USBLC6-2SC6,STMicroelectronics,ESD Protection Diode Array,1
J1,52492-0101,Molex,USB-C Connector 24-pin,1
J2,20021121-00010C4LF,Amphenol,10-pin Header Connector,2
C1,GRM155R61A105KA12D,Murata,1uF 10V Ceramic Capacitor 0402,8
C2,GRM155R61A104KA12D,Murata,100nF 10V Ceramic Capacitor 0402,12
R1,RC0402FR-0710KL,Yageo,10kΩ Resistor 0402,6
R2,RC0402FR-071KL,Yageo,1kΩ Resistor 0402,4
L1,LQM18PN2R2M0P,Murata,2.2uH Power Inductor,2
D1,BZT52C3V3-7-F,Diodes Incorporated,3.3V Zener Diode SOD-123,2
Q1,BSS138LT1G,ON Semiconductor,N-Channel MOSFET,2
Q2,BC847BLT1G,ON Semiconductor,NPN Bipolar Transistor,1
U7,CAT24C256WI-GT3,ON Semiconductor,256Kb I2C EEPROM,1
SW1,TACT-SW-42N,Generic,Tactile Switch 6x6mm,2
BAT1,ML1220-OLY,Panasonic,Lithium Battery 3V Coin Cell,1
ANT1,ANT-UFL-SMA,Generic,UFL to SMA Antenna Connector,1
F1,0ZCF0050FF2C,Bel Fuse,Resettable Fuse 0.5A,1
U8,SN74LVC1G04DBVR,Texas Instruments,Single Inverter Gate,1
U9,TPS62740DSSR,Texas Instruments,Buck Converter for Energy Harvesting,1
C3,GRM188R61A226ME15D,Murata,22uF 10V Ceramic Capacitor 0603,4
C4,GRM188R71H105KA12D,Murata,1uF 50V Ceramic Capacitor 0603,2
R3,RC0602FR-07100RL,Yageo,100Ω Resistor 0603,2
L2,LQM18PN4R7M0P,Murata,4.7uH Power Inductor,1
J3,1734034-1,TE Connectivity,Battery Connector 2-pin,1
X1,FNXH-32.768KHZ-12.5PF,Fox Electronics,32.768kHz Crystal,1
